GENDER,AGEGRP1,NGROUP,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
2,3,4,2000,1,2,1,8,30
1,3,5,20032.36,4,4,0,11,8
1,3,3,1000,4,2,0,11,30
2,2,3,1000,1,2,0,8,30
2,3,3,2350,4,2,0,15,30
2,3,3,200,1,2,0,8,30
3,2,2,5120.28,2,3,0,10,8
1,3,4,0.01,4,1,0,6,30
2,3,6,5126.67,2,3,0,8,12
1,2,3,5141.25,4,3,0,6,6
2,3,1,20039.88,4,4,0,8,3
2,3,2,3026.67,3,2,1,9,30
2,3,4,20050,2,4,1,13,15
3,3,4,0.01,4,1,0,9,30
1,2,2,5167.31,2,3,0,5,2
2,3,3,20050,1,4,0,14,4
2,2,2,3000,2,2,0,5,30
3,2,6,5170.88,1,3,0,14,4
3,3,3,3000,3,2,0,12,30
3,3,3,3000,1,2,0,5,30
1,3,2,800,4,2,0,4,30
2,2,3,3200,4,2,0,4,30
2,2,3,5173.73,1,3,0,9,11
2,3,3,58.45,5,2,0,4,30
2,2,3,5178.5,4,3,0,7,6
3,3,1,3000,2,2,0,6,29
2,2,4,5179.23,4,3,0,9,4
1,2,4,5180,4,3,0,15,9
1,3,6,20050,4,4,0,8,4
2,2,3,3000,4,2,0,4,29
2,1,4,5192.69,4,3,0,3,5
3,2,6,5200,4,3,0,9,16
2,3,2,0.01,1,1,0,3,29
2,2,1,1000,4,2,0,12,29
2,3,5,5200,4,3,0,5,12
3,3,1,20050,4,4,0,5,4
2,3,5,3000,4,2,0,6,29
1,2,3,3562.79,4,2,0,14,29
2,3,3,5200,2,3,0,11,11
2,1,4,5200,4,3,1,17,8
3,2,5,5200,5,3,0,11,3
3,2,3,4000,4,2,1,15,29
2,2,5,2000,4,2,0,13,29
2,3,3,1000,4,2,1,7,29
3,3,4,5250,4,3,0,8,5
2,3,1,0.01,4,1,0,6,29
2,3,4,5250.4,2,3,1,9,4
2,1,1,5251.86,3,3,1,13,12
3,3,4,978.4,5,2,0,5,29
3,2,1,5263.99,2,3,0,14,11
1,2,4,4800,1,2,0,6,29
1,1,1,5264,3,3,1,6,12
1,2,1,5281.24,4,3,0,6,1
1,2,5,5281.51,4,3,0,7,19
2,2,4,5286.11,4,3,0,13,5
2,2,5,5300,1,3,0,12,27
2,2,2,5300,4,3,1,10,10
1,2,5,5300,1,3,0,4,9
3,3,3,5300,4,3,0,8,8
2,1,3,5300,4,3,1,8,7
2,2,4,5300,1,3,0,5,5
1,3,2,2000,4,2,0,10,29
2,2,3,5300,4,3,0,10,2
2,3,3,5320.5,4,3,0,13,11
3,3,2,5329.4,4,3,0,17,21
1,3,2,5329.73,4,3,0,5,18
2,2,2,5350.99,4,3,0,10,8
2,3,2,1595.69,2,2,1,11,29
1,3,4,5360.75,1,3,0,9,6
1,3,2,3300.01,2,2,0,5,28
3,3,3,5364,2,3,0,8,32
1,3,2,5364.64,5,3,0,4,20
3,2,1,2500,2,2,0,3,28
2,3,6,3000,4,2,1,7,28
1,3,4,5384.25,1,3,0,8,9
3,3,2,5400,2,3,0,4,18
1,3,1,1500,4,2,1,9,28
2,2,3,1500,4,2,0,9,28
1,2,5,1000,2,2,0,2,28
1,3,4,5000,4,2,0,5,28
1,3,2,5400,3,3,0,7,16
2,2,3,5400,1,3,0,7,9
3,1,3,5400,2,3,0,7,5
2,3,3,1000,2,2,0,6,28
1,3,2,1643.24,4,2,0,12,28
2,3,3,4500,2,2,1,9,28
2,3,2,2000,4,2,0,5,28
2,1,2,5400,4,3,1,14,4
1,1,5,5400,3,3,1,23,1
2,2,2,2000,4,2,1,12,28
2,3,6,3000,5,2,0,11,28
1,3,5,4000,5,2,0,10,28
2,2,4,5400,1,3,0,11,1
3,3,3,0.01,1,1,0,10,28
2,3,6,2500.01,1,2,0,7,28
2,3,5,2000,1,2,0,6,27
2,2,3,3500,1,2,0,6,27
1,3,1,5000,4,2,0,10,27
1,3,5,5420,4,3,0,3,20
2,2,1,5420,1,3,1,8,6
2,2,3,5424,4,3,0,8,7
3,3,3,5425.13,1,3,0,6,4
2,2,3,5430.5,1,3,0,7,5
3,2,4,5452.35,2,3,0,4,6
1,3,3,4000,3,2,0,8,27
2,3,3,3000,4,2,0,10,27
1,2,5,5455.52,2,3,0,5,9
3,2,2,5455.57,4,3,0,6,5
3,2,1,0.01,4,1,0,17,27
2,3,3,4553.52,2,2,1,8,27
2,2,2,5465.13,1,3,0,12,3
1,2,3,3250,1,2,0,9,27
2,2,4,20050,4,4,1,10,4
1,3,4,3700,2,2,0,10,27
3,3,4,3000,4,2,0,6,27
1,3,3,5466.49,4,3,0,11,25
2,2,3,2960,1,2,0,7,27
2,2,1,5480,4,3,1,6,6
1,2,6,5492.43,4,3,0,9,12
3,2,4,5495.61,4,3,0,6,5
1,3,3,5500,1,3,0,8,30
2,3,4,5500,2,3,1,17,16
1,3,2,5500,4,3,0,12,13
2,1,5,5500,2,3,0,9,12
2,3,5,5500,1,3,0,8,12
2,3,6,2500,4,2,0,7,27
2,2,6,5500,1,3,1,6,11
3,3,2,5500,2,3,0,7,11
2,3,2,5500,1,3,0,8,9
1,2,2,20062.97,2,4,0,6,3
2,3,4,5500,4,3,0,7,8
3,3,6,3017.63,1,2,0,4,27
3,2,3,5500,1,3,0,7,8
1,3,2,1000,4,2,0,4,27
2,3,5,0.01,2,1,1,14,27
2,3,1,20066.9,4,4,0,7,3
3,3,1,5500,3,3,0,8,8
3,3,4,5500,1,3,1,10,7
2,3,6,1000,2,2,0,13,27
1,2,3,5500,2,3,0,5,7
3,3,3,500,1,2,0,9,27
2,3,2,1000,4,2,0,9,27
1,3,5,5500,1,3,0,13,6
2,3,2,3052.66,4,2,0,7,27
3,3,6,20072.42,1,4,0,4,3
2,3,2,1000,4,2,0,8,27
2,3,4,2134,2,2,0,7,27
2,3,2,5500,1,3,0,8,6
2,2,4,1440,3,2,0,15,26
2,3,3,20073.89,2,4,1,6,3
2,2,2,3000,4,2,0,8,26
3,3,2,1500,4,2,0,7,26
2,3,3,5500,4,3,0,6,6
2,1,6,5500,1,3,1,11,5
2,2,3,5500,1,3,1,8,5
2,3,6,500,1,2,0,9,26
2,2,3,5500,1,3,0,14,3
2,3,5,20092.78,4,4,0,4,3
2,1,3,5500,4,3,1,12,2
1,3,3,4000,1,2,1,8,26
2,2,5,20093.09,1,4,0,6,3
2,1,5,5500,4,3,1,6,1
2,2,6,91.75,2,2,0,5,26
1,2,1,0.01,4,1,0,20,26
2,3,2,0.01,2,1,0,8,26
1,3,1,2000,4,2,0,3,26
2,2,3,5500,1,3,1,12,1
2,2,4,5500,4,3,0,11,1
2,1,3,5500,4,3,0,6,1
2,1,3,5500,4,3,1,10,1
3,2,2,4000,4,2,1,8,26
2,3,3,500,3,2,0,5,26
1,3,4,5500,4,3,0,10,1
2,3,2,3005.5,2,2,0,9,26
1,3,3,500,2,2,0,9,26
1,3,3,4500,3,2,0,7,26
3,3,2,600,4,2,0,8,26
1,2,3,20095.3,1,4,1,6,3
3,2,3,75,4,2,0,10,26
3,3,4,20096.56,1,4,0,11,3
2,2,1,5000,1,2,0,8,26
2,3,4,20097.78,4,4,0,6,3
1,3,5,5500,1,3,0,11,0
2,3,3,0.01,1,1,0,9,26
3,3,4,3400.01,4,2,0,8,26
2,3,1,0.01,1,1,0,9,26
3,2,4,5500.01,4,3,0,6,8
1,2,2,0.01,2,1,0,7,26
2,3,4,1548.22,4,2,0,9,26
2,3,2,5500.01,2,3,0,6,5
1,3,1,5500.01,4,3,0,4,5
1,3,3,4125.19,4,2,1,5,26
2,3,5,5503.83,1,3,0,11,7
2,1,5,5514,4,3,1,9,4
1,3,4,4000,4,2,0,5,26
2,2,2,5526.35,1,3,0,10,5
2,3,5,100,4,2,1,5,26
2,2,1,5536.2,4,3,1,14,5
2,2,3,5543.57,1,3,0,7,7
2,3,5,600,1,2,0,6,25
2,3,2,5549.04,1,3,0,5,11
1,3,2,3000,4,2,0,11,25
2,2,6,5552.66,1,3,0,11,9
2,3,3,20105.32,1,4,0,7,7
2,2,3,5553.82,2,3,0,4,6
3,2,5,0.01,4,1,0,5,25
2,3,5,5553.98,4,3,1,9,2
1,3,3,5567.74,1,3,0,5,27
3,3,6,1000,5,2,0,7,25
3,2,4,5582.4,4,3,0,4,8
2,2,6,5600,4,3,0,8,8
1,2,4,5600,4,3,0,9,4
1,3,3,20106.7,1,4,0,8,8
2,2,3,5600.01,4,3,0,10,8
2,3,3,5602.5,4,3,0,6,1
2,2,2,5610,4,3,1,8,1
3,3,3,5611.23,2,3,0,14,5
3,3,5,100,1,2,0,7,25
2,3,3,5634.13,4,3,0,9,4
3,3,1,1326.69,2,2,0,8,25
2,3,2,5644.12,4,3,0,7,5
3,2,6,5644.32,2,3,0,10,12
1,3,3,1241.34,4,2,0,8,25
2,2,4,5655.91,4,3,0,7,13
2,3,2,5669.2,4,3,0,6,31
1,2,2,5672.31,1,3,0,9,2
3,3,4,2000,3,2,0,9,25
2,3,5,4419.56,2,2,1,11,25
1,2,6,20113.23,2,4,0,7,3
2,3,2,5684.45,4,3,0,12,9
2,3,2,5684.5,2,3,0,6,2
2,2,3,5693.5,1,3,0,9,8
2,2,4,5700,4,3,1,3,11
1,3,1,20116.05,4,4,0,6,3
2,2,2,5700,1,3,0,8,8
1,3,4,5726.89,4,3,0,8,3
2,3,3,3052.66,4,2,0,8,25
2,2,3,5729.37,2,3,1,13,5
2,2,5,5747.17,2,3,1,9,2
2,1,2,3000,1,2,1,6,25
3,3,5,2500,1,2,0,7,25
3,3,2,3000,4,2,0,11,25
2,3,5,3000,1,2,0,9,25
1,2,3,5770.81,3,3,0,11,22
1,3,6,5792.75,4,3,0,11,15
1,3,2,5800,4,3,0,11,17
2,3,5,3000,1,2,0,9,25
2,2,5,20119.73,2,4,1,5,3
3,2,6,5800,4,3,0,7,8
1,3,6,720,1,2,0,9,25
3,2,5,5800,4,3,0,11,8
2,3,5,2000,1,2,0,7,24
2,2,1,20124.28,4,4,0,5,7
1,3,6,1420,4,2,0,8,24
3,2,3,5800,4,3,0,10,7
2,3,2,3000,4,2,0,6,24
2,3,4,20148.2,4,4,0,7,4
2,3,3,3500,1,2,0,12,24
1,2,2,20,4,2,0,5,24
2,3,4,5800,1,3,0,4,7
2,3,4,5000,5,2,0,4,24
2,2,3,5800,2,3,0,7,6
2,3,6,1000,2,2,0,6,24
2,3,3,3500,3,2,0,7,24
1,3,1,200,1,2,0,5,24
1,3,6,2500,3,2,0,7,24
2,2,2,5800,4,3,1,9,3
3,3,4,5800,1,3,0,7,2
1,3,6,20156.18,3,4,0,9,0
1,2,5,5800,5,3,0,4,1
2,3,2,2190.24,2,2,0,6,24
2,2,4,5800.01,1,3,0,6,8
1,3,4,20161.21,4,4,0,9,3
2,1,6,1000,1,2,0,10,24
1,2,6,5804.06,2,3,0,7,21
3,2,2,500,4,2,0,9,24
1,2,4,5815,4,3,0,6,12
1,3,2,3640.57,1,2,1,5,24
2,2,3,2000,4,2,0,4,24
2,2,1,5819.42,2,3,1,13,4
2,3,1,5842.12,4,3,1,5,8
3,1,4,5850,4,3,1,11,2
2,3,5,750,4,2,0,7,24
2,3,5,5850.48,5,3,0,18,1
3,3,2,0.01,2,1,0,9,24
2,3,4,1250,1,2,1,23,23
2,3,4,20162.22,1,4,0,9,3
2,3,3,2000,4,2,0,9,23
1,3,5,3000,4,2,0,5,23
1,3,2,20173.35,4,4,0,8,13
2,3,1,2723.77,1,2,0,10,23
1,2,6,5872.76,2,3,0,8,12
3,3,4,0.01,1,1,1,11,23
3,3,4,5873.65,4,3,0,8,4
2,3,3,5880,5,3,0,9,5
1,3,2,5884.25,4,3,0,8,21
2,3,4,5884.25,4,3,0,10,9
1,3,3,5884.25,1,3,1,18,8
2,2,5,5897.24,3,3,0,6,4
2,3,1,3000,4,2,0,6,23
2,1,4,5900,4,3,1,14,8
2,3,5,1500,2,2,0,4,23
2,3,2,5900,4,3,1,10,8
3,2,3,5900,2,3,0,5,4
2,2,4,20182.18,1,4,0,2,3
2,1,3,5901.28,3,3,0,5,9
2,2,3,2500,5,2,1,16,23
2,3,5,4085,3,2,0,2,23
2,3,2,5000,3,2,0,8,23
2,2,2,300.01,3,2,1,12,23
2,2,6,5906.2,1,3,0,6,15
2,2,6,5914.33,1,3,1,8,13
2,3,3,1000,3,2,0,10,23
2,3,5,3426.88,2,2,0,7,23
2,3,1,5920,1,3,0,10,9
3,3,3,2383.23,3,2,0,12,23
3,3,1,1000,2,2,0,9,23
2,2,1,0.01,4,1,0,12,23
2,2,1,5924.64,2,3,1,7,14
3,3,1,3000,4,2,0,11,22
2,2,2,3000,4,2,0,8,22
2,3,4,5936.04,4,3,0,7,5
3,2,4,20182.82,1,4,0,11,3
1,3,6,5963.02,2,3,0,8,5
2,2,2,5965.85,4,3,1,10,6
1,3,3,4800,1,2,0,10,22
1,3,6,1000,1,2,0,8,22
2,3,4,5981.98,3,3,0,10,22
2,2,2,5982,4,3,0,9,6
1,3,3,3200,1,2,0,8,22
3,2,3,3000,4,2,0,12,22
1,3,2,1000,4,2,1,11,22
3,3,1,20186.86,2,4,0,18,3
1,2,5,250,4,2,0,9,22
2,3,3,20194.13,4,4,0,15,12
2,3,3,1980,1,2,0,10,22
1,2,5,5985,4,3,0,15,7
2,3,5,2000,3,2,0,5,22
1,3,1,3000,4,2,0,4,22
3,3,3,3052.66,4,2,0,6,22
1,2,6,5992.23,1,3,0,10,12
1,2,6,5996.68,1,3,0,8,11
2,3,4,810.4,4,2,0,2,22
1,2,5,1075.27,4,2,0,4,22
2,2,2,5997.16,4,3,0,8,6
2,3,3,20207.01,4,4,0,11,3
2,3,2,50,3,2,0,14,22
2,2,4,5997.7,2,3,1,20,11
3,3,3,1705.44,4,2,0,9,21
2,3,1,4000,3,2,0,5,21
3,3,1,1000,1,2,0,7,21
3,2,2,5997.75,2,3,0,9,1
3,2,2,20210.6,3,4,0,7,3
2,2,4,5997.81,1,3,1,14,2
2,3,6,5997.94,4,3,0,9,18
2,2,4,20212.01,1,4,0,4,8
3,3,5,5998.22,2,3,0,4,4
3,2,6,3000,2,2,0,8,21
2,3,6,5998.39,2,3,0,14,9
1,3,4,20215,4,4,0,3,8
1,3,6,5999.98,4,3,0,11,4
1,3,4,2500,4,2,0,6,21
2,3,6,700,1,2,0,11,21
1,3,2,6000,4,3,0,7,24
3,3,2,2282.97,4,2,0,8,21
1,2,6,2000,2,2,0,6,21
2,3,6,3720.39,1,2,0,14,21
1,3,6,6000,4,3,0,6,3
3,1,4,6000,2,3,0,11,2
2,2,2,4000,2,2,0,9,21
1,3,1,6000,4,3,0,7,2
1,3,2,2000,2,2,0,14,21
1,3,2,6000,4,3,0,5,1
2,3,2,6000,1,3,0,16,36
3,3,3,6000,2,3,0,8,36
2,2,3,6000,1,3,0,6,35
3,2,2,480,3,2,0,8,21
3,2,5,6000,3,3,0,5,33
1,3,3,6000,3,3,0,11,33
2,3,5,6000,1,3,0,6,32
1,3,2,3000,2,2,0,12,21
2,3,4,3000,1,2,0,7,21
2,3,1,6000,3,3,0,2,32
3,3,3,6000,2,3,0,11,32
2,3,3,6000,4,3,0,10,31
2,3,2,3000,2,2,0,6,21
2,2,2,2500,3,2,0,8,21
2,3,3,2000,2,2,0,11,21
1,3,5,6000,1,3,0,5,31
2,3,6,6000,1,3,0,9,31
3,3,3,6000,1,3,0,9,31
2,3,6,6000,2,3,1,9,31
1,3,2,6000,2,3,0,5,31
3,3,1,5000,4,2,0,8,21
1,3,5,3000,2,2,0,7,21
3,3,2,920.22,5,2,0,10,21
3,2,3,20218.54,1,4,0,10,8
2,3,4,0.01,2,1,1,14,21
1,3,6,2149.55,3,2,1,9,21
2,3,2,2000,1,2,0,5,21
2,2,1,20219.71,4,4,0,11,3
2,3,6,6000,4,3,1,5,31
2,3,4,6000,4,3,0,12,30
2,3,5,558.85,2,2,0,6,21
2,3,4,2000,4,2,1,6,21
2,3,5,0.01,3,1,0,13,21
3,3,4,6000,4,3,0,8,29
2,2,2,20220.34,4,4,0,12,3
3,3,6,5000,1,2,0,5,21
2,3,5,3000,4,2,0,8,21
1,3,1,4500,1,2,0,8,21
1,3,4,6000,2,3,0,9,29
3,3,3,20229.85,2,4,0,11,3
1,3,3,6000,1,3,1,15,29
2,3,2,6000,4,3,0,11,28
2,3,2,3000,2,2,0,4,21
3,3,1,0.02,4,2,0,3,21
1,2,2,5000,1,2,0,5,21
2,3,1,1000,4,2,1,17,21
2,3,7,6000,1,3,0,8,28
1,3,5,6000,5,3,0,11,28
2,3,4,1000,4,2,0,2,21
2,3,1,6000,4,3,0,8,27
2,3,4,6000,2,3,0,2,27
1,3,3,4000,3,2,0,11,21
2,2,5,3026.44,1,2,1,17,21
1,2,3,0.01,4,1,0,8,20
2,2,3,6000,1,3,0,11,27
2,3,3,6000,4,3,0,6,27
3,3,1,6000,4,3,0,11,27
1,3,4,2000.01,2,2,0,9,20
2,2,6,2000,1,2,0,7,20
1,3,1,1500,2,2,0,12,20
3,3,4,3000,5,2,0,4,20
2,3,2,6000,2,3,1,18,27
2,2,4,50,1,2,0,2,20
1,3,3,510,4,2,0,3,20
3,3,1,6000,4,3,0,8,27
2,3,2,3500,4,2,0,9,20
2,3,4,500,1,2,0,6,20
2,3,3,4000,1,2,1,10,20
2,3,4,3000,4,2,1,13,20
1,3,1,6000,2,3,0,9,27
2,3,3,2800,1,2,0,8,20
2,3,1,1200,3,2,0,8,20
1,3,4,2000,4,2,0,10,20
2,3,2,6000,1,3,0,4,27
2,3,5,2000,4,2,1,14,20
2,3,1,3000,3,2,1,11,20
2,2,4,6000,1,3,0,7,26
3,3,2,6000,4,3,0,9,26
3,3,4,3000,1,2,0,9,20
3,2,4,0.01,1,1,0,6,20
1,2,1,3000,4,2,0,5,20
2,3,4,6000,2,3,0,11,26
2,3,6,6000,1,3,0,10,25
2,3,6,6000,4,3,0,9,25
1,3,4,780,4,2,0,6,20
2,3,4,4855,2,2,0,5,20
3,3,3,6000,4,3,0,5,25
2,3,4,5000,4,2,0,9,20
1,2,3,0.01,4,1,0,8,20
1,3,4,0.01,2,1,0,11,20
2,3,5,2500,1,2,0,7,20
2,3,2,0.01,5,1,0,9,20
2,3,3,6000,3,3,0,10,25
2,3,5,6000,4,3,0,8,25
1,3,1,0.01,4,1,1,9,20
3,2,1,6000,2,3,0,7,25
3,3,6,6000,1,3,0,9,25
1,3,4,6000,1,3,0,7,25
2,2,5,1500,4,2,0,9,19
1,3,6,6000,1,3,0,11,25
1,3,6,3000,4,2,0,3,19
3,3,2,1400,1,2,0,10,19
2,2,2,6000,4,3,1,14,25
2,2,6,20,2,2,0,8,19
2,2,2,500,4,2,0,8,19
2,3,1,3000,2,2,0,6,19
2,3,2,6000,1,3,0,9,25
3,3,5,250,4,2,0,4,19
2,3,3,3150,3,2,0,10,19
1,3,3,6000,3,3,0,5,24
1,3,4,2000,1,2,0,8,19
3,3,5,600,1,2,0,10,19
2,3,2,3000,5,2,0,7,19
2,2,3,6000,4,3,1,7,24
2,3,4,20232.04,1,4,0,9,3
2,3,2,20235.95,1,4,0,6,3
3,3,3,1149.47,4,2,0,9,19
2,3,2,4459.17,1,2,0,7,19
1,3,4,3000,4,2,1,13,19
2,2,1,6000,3,3,1,13,23
2,2,3,3000,4,2,0,6,19
2,3,6,6000,2,3,0,7,23
1,3,2,6000,2,3,0,6,23
1,3,4,6000,2,3,0,11,23
2,3,2,3008.77,4,2,0,8,19
2,3,3,3000,4,2,0,3,19
2,3,4,3000,4,2,0,7,19
2,3,2,4500,2,2,0,9,19
2,3,1,420,4,2,1,15,19
1,2,2,6000,1,3,0,5,23
2,2,2,2000,4,2,0,7,19
2,3,5,6000,5,3,1,9,23
2,3,6,2808.08,1,2,0,9,19
3,3,3,6000,4,3,0,18,23
2,2,3,6000,3,3,0,5,22
2,3,6,1000,3,2,1,9,19
3,3,4,2000,1,2,0,9,19
2,3,3,6000,1,3,0,9,22
3,3,2,2500,1,2,0,10,19
3,3,4,2053.34,4,2,0,4,19
1,3,4,6000,3,3,0,12,22
2,3,1,3000,3,2,1,12,19
2,3,5,6000,2,3,0,6,21
1,2,1,6000,4,3,0,8,21
3,3,4,6000,1,3,0,11,21
2,3,1,6000,3,3,1,10,21
3,3,7,6000,1,3,0,7,21
1,3,6,6000,4,3,0,7,20
2,3,2,6000,2,3,1,8,20
1,3,2,6000,4,3,1,9,20
3,2,2,6000,3,3,0,6,19
1,3,6,750,2,2,0,8,19
3,3,1,20245.89,4,4,0,14,3
1,3,2,5000,2,2,1,8,19
2,3,2,6000,4,3,0,14,19
1,1,4,6000,4,3,1,12,19
2,3,6,3000,2,2,0,10,19
2,3,3,250,4,2,0,5,19
2,3,3,6000,2,3,0,9,19
2,2,5,6000,4,3,1,16,19
2,3,4,2333.01,3,2,0,12,19
2,3,3,6000,4,3,1,10,19
3,3,6,6000,1,3,0,3,19
2,3,6,6000,3,3,0,8,18
3,3,5,4000,3,2,0,3,18
2,3,1,5000,3,2,0,9,18
2,2,3,0.01,2,1,0,7,18
1,2,4,23.84,5,2,0,8,18
2,2,5,100,2,2,1,14,18
3,3,3,1000,1,2,0,5,18
1,3,3,2679.2,3,2,0,8,18
2,2,4,1000,1,2,0,3,18
1,3,6,3000,4,2,0,11,18
1,2,4,3000,1,2,0,7,18
3,3,2,20249.18,1,4,0,7,3
2,2,2,20249.84,4,4,0,7,3
1,2,1,1579.44,4,2,0,8,18
1,3,2,6000,1,3,1,7,18
1,3,4,6000,1,3,0,4,18
3,3,3,6000,4,3,0,4,18
3,3,1,6000,2,3,0,7,18
2,3,3,0.01,4,1,1,8,18
2,3,4,3200,1,2,0,9,18
3,2,2,6000,1,3,0,11,18
3,3,2,20255.91,4,4,0,8,13
1,3,1,6000,3,3,0,13,18
3,3,4,6000,1,3,1,8,17
2,3,4,6000,1,3,0,3,17
1,3,2,6000,3,3,0,6,17
2,2,3,6000,4,3,0,9,17
2,3,3,2850,3,2,0,11,18
2,3,4,1000,1,2,1,13,18
2,3,2,6000,4,3,0,7,17
1,3,2,2000,1,2,0,10,18
2,3,4,3000,1,2,0,12,18
3,3,5,6000,4,3,0,8,17
3,3,4,6000,5,3,0,6,17
1,2,5,6000,1,3,0,7,17
2,3,4,6000,2,3,0,6,17
1,3,4,3000,1,2,0,4,18
2,3,4,1230.33,1,2,1,11,18
3,3,4,1000,1,2,0,5,18
1,3,6,6000,1,3,0,5,17
2,3,2,5000,1,2,0,9,18
2,3,2,1000,4,2,0,14,18
2,3,4,6000,4,3,1,10,17
2,3,1,6000,2,3,0,6,17
3,3,3,4500,3,2,0,10,18
2,3,4,0.01,4,1,0,7,18
3,2,1,6000,1,3,0,11,17
2,3,2,6000,3,3,0,3,17
2,2,3,1392.21,3,2,0,8,18
3,3,6,2000,3,2,0,9,18
2,3,5,6000,3,3,0,7,17
1,3,2,3000,1,2,0,6,18
2,3,2,6000,1,3,0,4,17
3,3,6,6000,1,3,0,11,17
2,3,5,0.01,2,1,1,9,18
3,2,4,2400,2,2,0,5,18
2,2,6,1000,2,2,0,5,18
2,3,6,0.01,4,1,0,5,18
2,3,2,1271.22,4,2,0,2,18
3,3,4,6000,4,3,0,6,17
2,2,2,6000,3,3,0,7,17
1,3,4,6000,2,3,0,7,17
3,3,6,2000,1,2,0,12,18
